ìÂ;ìÀ
0.65780060;6.5780E-04
0.65786020;6.5786E-04
0.65791980;6.5792E-04
0.65791980;6.5792E-04
0.65791980;6.5792E-04
0.65791980;6.5792E-04
0.65791980;6.5792E-04
0.65797940;6.5798E-04
0.65797940;6.5798E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65803900;6.5804E-04
0.65809860;6.5810E-04
0.65809860;6.5810E-04
0.65809860;6.5810E-04
0.65809860;6.5810E-04
0.65809860;6.5810E-04
0.65809860;6.5810E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65815820;6.5816E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65821780;6.5822E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65827740;6.5828E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65833700;6.5834E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65839660;6.5840E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65845620;6.5846E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65851580;6.5852E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65857540;6.5858E-04
0.65863510;6.5864E-04
0.65863510;6.5864E-04
0.65863510;6.5864E-04
0.65863510;6.5864E-04
0.65863510;6.5864E-04
0.65863510;6.5864E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65869470;6.5869E-04
0.65875430;6.5875E-04
0.65875430;6.5875E-04
0.65875430;6.5875E-04
0.65875430;6.5875E-04
0.65875430;6.5875E-04
0.65875430;6.5875E-04
0.65875430;6.5875E-04
0.65881390;6.5881E-04
0.65881390;6.5881E-04
0.65881390;6.5881E-04
0.65881390;6.5881E-04
0.65887350;6.5887E-04
0.65893310;6.5893E-04
