w1;w2
   1.0813e+01;   1.0000e+00
   5.8888e+00;   1.4805e+00
   5.4244e+00;   1.0000e+00
   4.3301e+00;   1.5995e+00
   2.3357e+00;   1.2990e+00
   1.1613e+00;   2.7184e+00
   1.1869e+00;   2.9379e+00
   1.0000e+00;   2.4574e+00
   1.0000e+00;   2.3469e+00
   1.0000e+00;   3.3564e+00
   1.0000e+00;   2.9858e+00
   1.0000e+00;   2.5353e+00
   1.0000e+00;   2.0948e+00
   1.3137e+00;   1.9443e+00
   1.0000e+00;   3.2837e+00
   1.6725e+00;   2.9532e+00
   1.4369e+00;   2.7327e+00
   1.0412e+00;   2.5422e+00
   1.0000e+00;   2.1717e+00
   1.0000e+00;   1.9111e+00
   1.0000e+00;   1.8706e+00
   1.0000e+00;   1.9901e+00
   1.0031e+00;   2.0296e+00
   1.5075e+00;   2.2891e+00
   1.0019e+00;   1.9185e+00
   1.0163e+00;   1.4380e+00
   1.7407e+00;   1.0000e+00
   1.9450e+00;   1.0000e+00
   1.7394e+00;   1.0000e+00
   1.3038e+00;   1.0000e+00
   1.5082e+00;   1.0000e+00
   1.0025e+00;   1.0000e+00
   2.2869e+00;   1.0000e+00
   2.0013e+00;   1.1261e+00
   2.1657e+00;   1.0000e+00
   2.2901e+00;   1.0000e+00
   1.9744e+00;   1.0000e+00
   2.6588e+00;   1.0000e+00
   2.3432e+00;   1.0088e+00
   1.9476e+00;   1.0000e+00
   1.5520e+00;   1.0000e+00
   1.0863e+00;   1.0000e+00
   1.0000e+00;   1.1908e+00
   1.0000e+00;   1.0414e+00
   1.0000e+00;   1.0000e+00
   1.0000e+00;   1.0424e+00
   1.0000e+00;   1.4929e+00
   1.0000e+00;   1.8934e+00
   1.0000e+00;   1.7840e+00
   1.0000e+00;   2.0045e+00
   1.0000e+00;   2.3450e+00
   1.2899e+00;   2.6755e+00
   1.3855e+00;   2.6360e+00
   1.6711e+00;   2.9366e+00
   2.0967e+00;   3.0071e+00
   2.5324e+00;   2.8576e+00
   2.3980e+00;   3.1181e+00
   2.8336e+00;   3.1886e+00
   2.9992e+00;   3.3792e+00
   2.6848e+00;   1.6597e+00
   3.0405e+00;   2.1102e+00
   2.9561e+00;   2.5507e+00
   3.0117e+00;   2.1413e+00
   3.4773e+00;   2.3318e+00
