ìÂ;ìÀ
4.8273E-02;9.6545E-07
4.8816E-02;9.7633E-07
4.8913E-02;9.7827E-07
4.9073E-02;9.8147E-07
4.9323E-02;9.8646E-07
4.9491E-02;9.8981E-07
4.9539E-02;9.9078E-07
4.9647E-02;9.9294E-07
4.9670E-02;9.9339E-07
4.9770E-02;9.9540E-07
4.9811E-02;9.9622E-07
4.9841E-02;9.9682E-07
5.0001E-02;1.0000E-06
5.0143E-02;1.0029E-06
5.0143E-02;1.0029E-06
5.0280E-02;1.0056E-06
5.0307E-02;1.0061E-06
5.0318E-02;1.0064E-06
5.0355E-02;1.0071E-06
5.0415E-02;1.0083E-06
5.0448E-02;1.0090E-06
5.0497E-02;1.0099E-06
5.0567E-02;1.0113E-06
5.0668E-02;1.0134E-06
5.0668E-02;1.0134E-06
5.0720E-02;1.0144E-06
5.0843E-02;1.0169E-06
5.0914E-02;1.0183E-06
5.0944E-02;1.0189E-06
5.0951E-02;1.0190E-06
5.1022E-02;1.0204E-06
5.1022E-02;1.0204E-06
5.1201E-02;1.0240E-06
5.1223E-02;1.0245E-06
5.1290E-02;1.0258E-06
5.1353E-02;1.0271E-06
5.1372E-02;1.0274E-06
5.1491E-02;1.0298E-06
5.1510E-02;1.0302E-06
5.1521E-02;1.0304E-06
5.1532E-02;1.0306E-06
5.1536E-02;1.0307E-06
5.1566E-02;1.0313E-06
5.1588E-02;1.0318E-06
5.1640E-02;1.0328E-06
5.1677E-02;1.0335E-06
5.1681E-02;1.0336E-06
5.1685E-02;1.0337E-06
5.1793E-02;1.0359E-06
5.1793E-02;1.0359E-06
5.1800E-02;1.0360E-06
5.1804E-02;1.0361E-06
5.1845E-02;1.0369E-06
5.1867E-02;1.0373E-06
5.1875E-02;1.0375E-06
5.1882E-02;1.0376E-06
5.1946E-02;1.0389E-06
5.1953E-02;1.0391E-06
5.1987E-02;1.0397E-06
5.2069E-02;1.0414E-06
5.2084E-02;1.0417E-06
5.2143E-02;1.0429E-06
5.2188E-02;1.0438E-06
5.2192E-02;1.0438E-06
5.2426E-02;1.0485E-06
5.2452E-02;1.0490E-06
5.2564E-02;1.0513E-06
5.2609E-02;1.0522E-06
5.2616E-02;1.0523E-06
5.2694E-02;1.0539E-06
5.2713E-02;1.0543E-06
5.2717E-02;1.0543E-06
5.2817E-02;1.0563E-06
5.2843E-02;1.0569E-06
5.2851E-02;1.0570E-06
5.3074E-02;1.0615E-06
5.3097E-02;1.0619E-06
5.3119E-02;1.0624E-06
5.3171E-02;1.0634E-06
5.3171E-02;1.0634E-06
5.3171E-02;1.0634E-06
5.3194E-02;1.0639E-06
5.3421E-02;1.0684E-06
5.3488E-02;1.0698E-06
5.3488E-02;1.0698E-06
5.3507E-02;1.0701E-06
5.3510E-02;1.0702E-06
5.3521E-02;1.0704E-06
5.3704E-02;1.0741E-06
5.3741E-02;1.0748E-06
5.3786E-02;1.0757E-06
5.3849E-02;1.0770E-06
5.3905E-02;1.0781E-06
5.3954E-02;1.0791E-06
5.3995E-02;1.0799E-06
5.4147E-02;1.0829E-06
5.4252E-02;1.0850E-06
5.4300E-02;1.0860E-06
5.4401E-02;1.0880E-06
5.4427E-02;1.0885E-06
5.4453E-02;1.0891E-06
5.4579E-02;1.0916E-06
5.4613E-02;1.0923E-06
5.4669E-02;1.0934E-06
5.4762E-02;1.0952E-06
5.4814E-02;1.0963E-06
5.4915E-02;1.0983E-06
5.4926E-02;1.0985E-06
5.4933E-02;1.0987E-06
5.5004E-02;1.1001E-06
5.5101E-02;1.1020E-06
5.5142E-02;1.1028E-06
5.5194E-02;1.1039E-06
5.5198E-02;1.1040E-06
5.5202E-02;1.1040E-06
5.5228E-02;1.1046E-06
5.5276E-02;1.1055E-06
5.5313E-02;1.1063E-06
5.5369E-02;1.1074E-06
5.5421E-02;1.1084E-06
5.5474E-02;1.1095E-06
5.5522E-02;1.1104E-06
5.5608E-02;1.1122E-06
5.5641E-02;1.1128E-06
5.5779E-02;1.1156E-06
5.5846E-02;1.1169E-06
5.5902E-02;1.1180E-06
5.6122E-02;1.1224E-06
5.6181E-02;1.1236E-06
